Topical Cluster,Cluster Code,Percentage of Nodes,Percentage of Entries,Category,Keywords
1,9,12%,7%,1. Open Source,open,source,alpha,leading,emerge,voice,woodstock,github,leak,host,face,event,drive,shortly,metaverse,essential,usb
2,3,12%,11%,2. Exploit Control,million,exploit,plugin,control,flaw,hacker,full,wordpress,job,day,execute,target,affect,file,ibm,elect,chatgpt
3,2,11%,11%,3. Ecommerce Planning,game,platform,planning,including,april,fraud,ecommerce,transform,appoint,favro,order,offer,exposed,marker,review,limit
4,11,10%,8%,4. Data Network,user,data,cx,network,economy,massive,rain,breach,cloud,survive,strategy,flag,week,apple,malicious
5,7,9%,8%,5. Application Trust,application,access,forwards,observability,claude,startup,base,cybersecurity,developing,expand,change,trust,isn
6,6,8%,7%,6. Privacy Smart,privacy,smart,campus,building,battle,bitter,row,powered,community,customer,scammy,spammy
7,4,7%,11%,7. Tech Security,tech,download,russia,security,industry,crumbling,break,team,chemical,chatbot
8,0,6%,10%,8. Private Tool,private,website,tool,free,content,right,label,generator,make
9,13,5%,3%,9. Political Power,pause,month,call,critic,development,politic,power,world
10,1,5%,5%,10. NFT Market,question,ask,affiliate,frequently,market,nft,cj
11,15,3%,1%,11. Spaghetti Smith,spaghetti,eating,smith,video
12,12,3%,1%,12. FIFA Launch,launch,fifa,league,machine
13,8,3%,1%,13. Women Pro,pro,soccer,woman,lean
14,14,2%,1%,14. Farm Relaxing,farm,blend,relaxing
15,5,2%,1%,15. Spotify Pick,pick,spotify,counterfactual
16,10,1%,1%,16. Roll P,roll,p
17,17,1%,1%,17. Generation,generation
18,16,1%,1%,pope ,pope
